etext_id,title
16941,"The Hidden Words of Bahá'u'lláh by Bahá'u'lláh"
16523,"The Kitáb-i-Aqdas by Bahá'u'lláh"
18828,"Selections From the Writings of the Báb by Bab"
30719,"Νεφέλαι by Aristophanes"
19240,"Bahá’í Prayers: A Selection of Prayers Reveale"
19284,"Paris Talks by `Abdu'l-Bahá"
32524,"A Fourth Form Friendship by Angela Brazil"
19296,"Tablets of the Divine Plan by `Abdu'l-Bahá"
19292,"`Abdu'l-Bahá's Tablet to Dr. Forel"
19299,"The Will And Testament of ‘Abdu’l-Bahá"
19243,"The Advent of Divine Justice by Effendi Shoghi"
19282,"The Promised Day Is Come by Effendi Shoghi"
3330,"The Analects of Confucius (from the Chinese Classi"
3100,"The Chinese Classics: with a translation, critical"
3013,"The Birds by Aristophanes"
21262,"The Works of Christopher Marlowe, Vol. 3 (of 3)"
1000,"La Divina Commedia di Dante by Dante Alighieri"
33896,"Dante. An essay. by R. W.  Church"
9371,"The Praise of Folly by Desiderius Erasmus"
17814,"Λυσιστράτη by Aristophanes"
5225,"The Satyricon — Complete by Petronius Arbiter"
5300,"Tales and Novels of J. de La Fontaine — Complete"
6124,"Pamela, or Virtue Rewarded by Samuel Richardson"
135,"Les Misérables by Victor Hugo"
4799,"The Complete Poetical Works of Percy Bysshe Shelle"
4797,"The Complete Poetical Works of Percy Bysshe Shelle"
22048,"Napoléon Le Petit by Victor Hugo"
6782,"The Robbers by Friedrich Schiller"
29549,"Le Roi s'amuse by Victor Hugo"
798,"Le Rouge et le noir by Stendhal"
2610,"Notre-Dame De Paris by Victor Hugo"
20580,"Napoleon the Little by Victor Hugo"
31015,"The Poetical Works of Elizabeth Barrett Browning,"
30107,"Principles Of Political Economy by Mill"
61,"The Communist Manifesto by Engels and Marx"
15995,"Salambo by Gustave Flaubert"
203,"Uncle Tom's Cabin by Harriet Beecher Stowe"
1228,"On the origin of species by Charles Darwin"
26710,"Les épaves de Charles Baudelaire by Baudelaire"
1322,"Leaves of Grass by Walt Whitman"
6099,"Les Fleurs du Mal by Charles Baudelaire"
25053,"Tentation de saint Antoine. English by Flaubert"
808,"The Complete Plays of Gilbert and Sullivan"
74,"The Adventures of Tom Sawyer by Mark Twain"
2419,"La dame aux camélias by Alexandre Dumas"
2137,"Rosamund, queen of the Lombards, a tragedy"
35402,"Poems & Ballads (First Series) by Swinburne"
110,"Tess of the d'Urbervilles by Thomas Hardy"
153,"Jude the Obscure by Thomas Hardy"
5250,"Nana by Émile Zola"
18545,"A Mummer's Tale by Anatole France"
4788,"Mademoiselle Fifi by Guy de Maupassant"
5722,"The Shewing-up of Blanco Posnet by Bernard Shaw"
29208,"Salome en Een Florentijnsch Treurspel by Wilde"
140,"The Jungle by Upton Sinclair"
13611,"Studies in the Psychology of Sex, Volume 2"
13612,"Studies in the Psychology of Sex, Volume 3"
13613,"Studies in the Psychology of Sex, Volume 4"
8899,"Three Weeks by Elinor Glyn"
26685,"Aphrodite by Pierre Louÿs"
5267,"Sister Carrie by Theodore Dreiser"
31732,"The Sex Side of Life by Mary Dennett"
2814,"Dubliners by James Joyce"
27315,"Όρνιθες by Aristophanes"
5921,"The History of Don Quixote, Volume 1, Complete"
5946,"The History of Don Quixote, Volume 2, Complete"
33797,"Sinister Street, vol. 1 by Compton MacKenzie"
28948,"The Rainbow by D. H.  Lawrence"
4240,"Women in Love by D. H.  Lawrence"
274,"Martin Luther's 95 Theses by Martin Luther"
1232,"The Prince by Niccolò Machiavelli"
392,"Jerusalem Delivered by Torquato Tasso"
5500,"The Advancement of Learning by Francis Bacon"
1515,"The Merchant of Venice by William Shakespeare"
2266,"King Lear by William Shakespeare"
17941,"Fables de La Fontaine by Jean de La Fontaine"
28488,"Tartuffe by Molière"
29772,"Oeuvres de Blaise Pascal by Condorcet"
10615,"An Essay Concerning Humane Understanding, Volume 1"
10616,"An Essay Concerning Humane Understanding, Volume 2"
30344,"The Fortunate Mistress (Parts 1 and 2) by Defoe"
4737,"A Tale of a Tub by Jonathan Swift"
33856,"Lettres persanes, tome II by Montesquieu"
12784,"The Prose Works of Jonathan Swift, D.D. — Volume"
27573,"Esprit des lois by Montesquieu"
18569,"Voltaire's Philosophical Dictionary by Voltaire"
6828,"The Works of Henry Fielding by Henry Fielding"
5427,"Emile by Jean-Jacques Rousseau"
30433,"Émile by Jean-Jacques Rousseau"
804,"A Sentimental Journey Through France and Italy"
20577,"La Folle Journée ou le Mariage de Figaro"
6593,"History of Tom Jones, a Foundling by Fielding"
25717,"The History Of The Decline And Fall Of The Roman E"
25344,"The Scarlet Letter by Nathaniel Hawthorne"
28885,"Alice's Adventures in Wonderland by Lewis Carroll"
160,"The Awakening and Selected Short Stories by Chopin"
2407,"Die Leiden des jungen Werther — Band 1 by Goethe"
2408,"Die Leiden des jungen Werther — Band 2 by Goethe"
27203,"Maîtrise de soi-même par l'autosuggestion consci"
24042,"徬徨 by Xun Lu"
209,"The Turn of the Screw by Henry James"
1695,"The Man Who Was Thursday, a nightmare"
601,"The Monk; a romance by M. G.  Lewis"
441,"New Poems by Robert Louis Stevenson"
12,"Through the Looking-Glass by Lewis Carroll"
219,"Heart of Darkness by Joseph Conrad"
23700,"The Decameron of Giovanni Boccaccio by Boccaccio"
652,"Rasselas, Prince of Abyssinia by Samuel Johnson"
60,"The Scarlet Pimpernel by Orczy"
1947,"Scaramouche by Rafael Sabatini"
